"Product Name","OrgPrice","Price","Rating"
"APPLE iPhone 14 (Starlight  128 GB",79900,71999,"4.7"
"APPLE iPhone 14 (Midnight  128 GB",79900,71999,"4.7"
"APPLE iPhone 14 (Purple  128 GB",79900,71999,"4.7"
"APPLE iPhone 14 (Blue  128 GB",79900,71999,"4.7"
"APPLE iPhone 14 (Starlight  256 GB",89900,81999,"4.7"
"APPLE iPhone 14 (Midnight  256 GB",89900,81999,"4.7"
"APPLE iPhone 14 (Purple  256 GB",89900,81999,"4.7"
"APPLE iPhone 14 (Blue  256 GB",89900,81999,"4.7"
"APPLE iPhone 14 ((PRODUCT)RED  128 GB",79900,71999,"4.7"
"APPLE iPhone 14 ((PRODUCT)RED  256 GB",89900,81999,"4.7"
"APPLE iPhone 14 (Blue  512 GB",109900,101999,"4.7"
"APPLE iPhone 14 ((PRODUCT)RED  512 GB",109900,101999,"4.7"
"APPLE iPhone 14 (Starlight  512 GB",109900,101999,"4.7"
"APPLE iPhone 14 (Purple  512 GB",109900,101999,"4.7"
"APPLE iPhone 14 (Midnight  512 GB",109900,101999,"4.7"
"APPLE iPhone 14 Plus (Midnight  128 GB",89900,80999,"4.7"
"APPLE iPhone 14 Plus (Blue  128 GB",89900,80999,"4.7"
"APPLE iPhone 14 Plus (Starlight  128 GB",89900,80999,"4.7"
"APPLE iPhone 14 Plus (Purple  128 GB",89900,80999,"4.7"
"APPLE iPhone 14 Plus (Midnight  256 GB",99900,90999,"4.7"
"APPLE iPhone 14 Plus ((PRODUCT)RED  128 GB",89900,80999,"4.7"
"APPLE iPhone 14 Plus ((PRODUCT)RED  256 GB",99900,90999,"4.7"
"APPLE iPhone 14 Plus (Starlight  256 GB",99900,90999,"4.7"
"APPLE iPhone 14 Pro (Deep Purple  128 GB",129900,123999,"4.7"